"GUID","Label","AllowIPNM"
"241a279c-76d5-499b-ab49-a47ad7f8df50","MULTIRECORD_MEASURE_QA_BASISOFRECORD_STANDARD",
"21541436-641d-45a9-938c-537484d94eb7","MULTIRECORD_MEASURE_QA_CLASS_FOUND","Yes"
"a2be4734-0a93-46dc-af4a-e2125b47dbd4","MULTIRECORD_MEASURE_QA_CLASSIFICATION_CONSISTENT",
"d105bb0f-ec58-47d3-92f7-7d031f13534f","MULTIRECORD_MEASURE_QA_COORDINATES_COUNTRYCODE_CONSISTENT","Yes"
"151b2d29-3460-4ba5-a226-86971dc8ad03","MULTIRECORD_MEASURE_QA_COORDINATES_NOTZERO",
"c87aac27-bee7-45cf-b75c-e5a2d40b28e5","MULTIRECORD_MEASURE_QA_COORDINATES_STATEPROVINCE_CONSISTENT","Yes"
"7e0f4e97-acae-466a-a9bf-c31956a85b4f","MULTIRECORD_MEASURE_QA_COORDINATES_TERRESTRIALMARINE","Yes"
"d94b0130-7a13-4fa8-955c-eff5c47bd9de","MULTIRECORD_MEASURE_QA_COORDINATEUNCERTAINTY_INRANGE","Yes"
"73fd9f74-7a81-4938-a51f-935d0786092d","MULTIRECORD_MEASURE_QA_COUNTRY_COUNTRYCODE_CONSISTENT","Yes"
"388e74b3-2e18-4d78-8112-3142d1177e25","MULTIRECORD_MEASURE_QA_COUNTRY_FOUND",
"9c8df974-8fba-4537-8c67-31466787f732","MULTIRECORD_MEASURE_QA_COUNTRY_NOTEMPTY",
"942f63bd-d19d-4214-bf8e-cec0055b8909","MULTIRECORD_MEASURE_QA_COUNTRYCODE_NOTEMPTY",
"fedf27b2-e01d-459f-98fc-7f0f39e3d4be","MULTIRECORD_MEASURE_QA_COUNTRYCODE_STANDARD","Yes"
"b8063832-daa9-446b-a676-bca92cd0dd24","MULTIRECORD_MEASURE_QA_COUNTRYSTATEPROVINCE_CONSISTENT",
"23aced89-d613-479c-bc4c-837d74b73be0","MULTIRECORD_MEASURE_QA_COUNTRYSTATEPROVINCE_UNAMBIGUOUS",
"6354376c-0cf2-435b-be40-850769c5a18a","MULTIRECORD_MEASURE_QA_DATEIDENTIFIED_INRANGE",
"563872eb-f544-45a0-8f91-8098d62768d4","MULTIRECORD_MEASURE_QA_DATEIDENTIFIED_STANDARD",
"85dc5d02-9847-420f-a026-6a0e70962d2a","MULTIRECORD_MEASURE_QA_DAY_INRANGE","Yes"
"371035f6-42b5-494f-86d9-de2f44a6cdc6","MULTIRECORD_MEASURE_QA_DAY_STANDARD","Yes"
"4d999a65-a431-4a76-b591-e0d86dcf244b","MULTIRECORD_MEASURE_QA_DCTYPE_NOTEMPTY",
"d9493fa0-d90e-41db-95f6-d1c1d243540e","MULTIRECORD_MEASURE_QA_DCTYPE_STANDARD",
"3c8bc478-f6b2-4533-b7ce-45bae5d186c2","MULTIRECORD_MEASURE_QA_DECIMALLATITUDE_INRANGE",
"a2535b23-4407-40bd-b23b-30c8185d72a2","MULTIRECORD_MEASURE_QA_DECIMALLATITUDE_NOTEMPTY",
"6f7a9b82-7d34-4111-a2a6-9efe5221fa44","MULTIRECORD_MEASURE_QA_DECIMALLONGITUDE_INRANGE",
"a94e986e-dbc8-4147-872d-5f2727945654","MULTIRECORD_MEASURE_QA_DECIMALLONGITUDE_NOTEMPTY",
"ba953672-6526-4375-97e8-b4e9d1a7d3a0","MULTIRECORD_MEASURE_QA_DEGREEOFESTABLISHMENT_STANDARD","Yes"
"c04d428a-13d0-4766-9df7-4dfb2ef5d5d8","MULTIRECORD_MEASURE_QA_ENDDAYOFYEAR_INRANGE","Yes"
"8dfed701-01a9-415d-a9f8-539280b75975","MULTIRECORD_MEASURE_QA_ESTABLISHMENTMEANS_STANDARD","Yes"
"f375a3fd-4cf5-4ef4-955e-d71762ede2d8","MULTIRECORD_MEASURE_QA_EVENT_CONSISTENT",
